First Name,Last Name,State
Tamara,Harris,NJ
Rebecca Michelle,Sherrill,NJ
Bonnie,Watson Coleman,NJ
Ann,Chavez,NM
Debra,Haaland,NM
Antoinette,Sedillo Lopez,NM
Janice,Jones,NM
Lori,Hildebrandt,NM
Stella,Herrell,NM
Kirsten,Gillibrand,NY
Elaine,DiMasi,NY
Kathleen,Rice,NY
Grace,Meng,NY
Nydia,Velazquez,NY
Yvette,Clarke,NY
Carolyn,Maloney,NY
Alexandria,Ocasio-Cortez,NY
Nita,Lowey,NY
Sue,Sullivan,NY
Katie,Wilson,NY
Emily,Martz,NY
Tedra Lynne,Cobb,NY
Elise,Stefanik,NY
Claudia,Tenney,NY
Dana,Balter,NY
Anne,Messenger,NY
Louise,Slaughter,NY
Erin,Cole,NY
Wendy Ella,May,NC
Lee Andrea,Brian,NC
Virginia Ann,Foxx,NC
Jennifer,Marshall,NC
Denice Darcel,Adams,NC
Margot,Horney,NC
Lauren Kyle,Horton,NC
Maria Collins,Warren,NC
Alma Shealey,Adams,NC
Heidi,Heitkamp,ND
Laura Ann,Weaver,OH
Janet,Everhard,OH
Joyce,Beatty,OH
Marcy,Kaptur,OH
Marcia,Fudge,OH
Elizabeth,Rader,OH
Christina,Hagan,OH
Jamie,Mcleod-Skinner,OK
Jo Rae,Perkins,OK
Kendra,Horn,OK
Suzanne,Bonamici,OR
Jamie,McLeod-Skinner,OR
JoRae,Perkins,OR
Cynthia Ellen,Ayers,PA
Shavonnia,Corbin-Johnson,PA
Chrissy,Houlahan,PA
Molly,Sheehan,PA
Rachel,Reddick,PA
Valerie,Mihalek,PA
Judith,Herschel,PA
Elizabeth,Tarasi,PA
Christina,Hartman,PA
Jessica,King,PA
Kim,Ward,PA
Pamela,Iovino,PA
Katherine,Arrington,SC
Mary,Geren,SC
Sheri,Few,SC
Alexis,Frank,SC
Shantel,Krebs,SD
Marsha,Blackburn,TN
Renee,Hoyos,TN
Danielle,Mitchell,TN
Mariah,Phillips,TN
Diane,Black,TN
Irasema,Hernandez,TX
Mary Ann,Miller,TX
Shirley,McKellar,TX
Kathaleen,Wall,TX
Silky,Malik,TX
Lorie,Burch,TX
Catherine,Krantz,TX
Bunni,Pounds,TX
Jana,Sanchez,TX
Ruby Faye,Woolridge,TX
Debra,Kerner,TX
Elizabeth,Fletcher,TX
Laura,Moser,TX
Tami L.,Walker,TX
Virginia,Leeder,TX
Kay,Granger,TX
Vanessa,Adia,TX
Adrienne,Bell,TX
Dori,Fenenbock,TX
Veronica,Escobar,TX
Nicole,Leclaire,TX
Ava,Pate,TX
Jessica Lee,Peterka,TX
Lori Anita,Bartley,TX
Sheila,Jackson,TX
Mary,Wilson,TX
Letitia,Plummer,TX
Stephanie,Williams,TX
Alma,Arredondo-Lynch,TX
Gina Ortiz,Jones,TX
Judith Ann,Canales,TX
Jan,McDowell,TX
Kathi,Thomas,TX
Julie Lynn,Oliver,TX
Linsey,Fagan,TX
Veronica,Birkenstock,TX
Eddie (Ms.),Johnson,TX
Christine E.,Mann,TX
Mary J.,Hegar,TX
Danielle,Pellett,TX
Lillian,Salerno,TX
Dayna,Steele,TX
Jenny,Wilson,UT
Misty,Snow,UT
Charlotte,Surveyor,UT
Shireen,Ghorbani,UT
Mary,Burkett,UT
Mia,Love,UT
Darlene,McDonald,UT
Folasade,Adeluola,VT
Karen P.,Mallard,VA
Mary,Jones,VA
Shaun Denise,Brown,VA
Leslie,Cockburn,VA
Helen,Alli,VA
Eileen,Bedell,VA
Abigail,Spanberger,VA
Janelle,Noble,VA
Jennifer,Wexton,VA
Alison,Friedman,VA
Kimberly,Adams,VA
Julia E.,Biggins,VA
Lindsey D.,Stover,VA
Barbara,Constock,VA
Maria,Cantwell,WA
Jennifer,Ferguson,WA
Suzan,Delbene,WA
Jamie,Herrera Beutler,WA
Dorothy,Gasque,WA
Christine C.,Brown,WA
Cathy,McMorris Rodgers,WA
Lisa,Brown,WA
Pramila,Jayapal,WA
Kim,Schrier,WA
Mona,Das,WA
Sarah,Smith,WA
Leah,Vukmir,WI
Mary Jo,Walters,WI
Tammy,Baldwin,WI
Cathy,Myers,WI
Gwen,Moore,WI
Sarah,Lloyd,WI
Paula,Swearengin,WV
Kendra,Fershee,WV
Talley,SErgent,WV
Carol D.,Miller,WV
Ayne,Amjad,WV
Elizabeth,Cheney,WY
